rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
117,Chad,2002-04-01,155.0,10.0,0.06451612903225806,,0.0,0.0,,2002,NaT
118,Samoa,2006-03-01,49.0,3.0,0.061224489795918366,,0.0,0.0,,2006,NaT
119,Saint-Lucia ,2006-12-01,18.0,1.0,0.05555555555555555,2007-01-01,11.0,2.0,0.18181818181818182,2006,2007
121,Sri Lanka,2004-04-01,225.0,11.0,0.04888888888888889,,0.0,0.0,,2004,NaT
122,Lebanon,2005-05-01,128.0,6.0,0.046875,,0.0,0.0,,2005,NaT
123,Kiribati,2007-08-01,46.0,2.0,0.043478260869565216,,0.0,0.0,,2007,NaT
124,Haiti,2006-02-01,98.0,4.0,0.04081632653061224,2006-02-01,30.0,4.0,0.13333333333333333,2006,2006
"""",Iran Islamic Rep. of,2004-02-01,290.0,12.0,0.041379310344827586,,0.0,0.0,,2004,NaT
125,Vanuatu,2004-07-01,52.0,2.0,0.038461538461538464,,0.0,0.0,,2004,NaT
126,Tonga,2005-03-01,30.0,1.0,0.03333333333333333,,0.0,0.0,,2005,NaT
127,Comoros,2004-04-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,2004,NaT
128,Bhutan,,150.0,4.0,0.02666666666666667,,0.0,0.0,,NaT,NaT
129,Bahrain,2006-11-01,40.0,1.0,0.025,2006-12-01,40.0,10.0,0.25,2006,2006
130,Egypt,2005-11-01,442.0,9.0,0.020361990950226245,2007-06-01,264.0,0.0,0.0,2005,2007
131,Sao Tome and Principe ,2006-03-01,55.0,1.0,0.01818181818181818,,0.0,0.0,,2006,NaT
133,Papua New Guinea,2007-06-01,109.0,1.0,0.009174311926605505,,0.0,0.0,,2007,NaT
135,Kyrgyzstan,2005-02-01,72.0,0.0,0.0,,0.0,0.0,,2005,NaT
"""",Oman,2007-10-01,84.0,0.0,0.0,,58.0,9.0,0.15517241379310345,2007,NaT
136,Argentina,2007-10-01,257.0,0.0,0.0,2007-10-01,72.0,0.0,0.0,2007,2007
"""",Nauru,2007-08-01,18.0,0.0,0.0,,0.0,0.0,,2007,NaT
"""",Ukraine,2007-09-01,450.0,0.0,0.0,,0.0,0.0,,2007,NaT
1,Rwanda,2008-09-01,80.0,45.0,0.5625,2003-10-01,26.0,9.0,0.34615384615384615,2008,2003
2,Sweden,2006-09-01,349.0,164.0,0.4699140401146132,,0.0,0.0,,2006,NaT
3,Cuba,2008-01-01,614.0,265.0,0.43159609120521175,,0.0,0.0,,2008,NaT
4,Finland,2007-03-01,200.0,83.0,0.415,,0.0,0.0,,2007,NaT
5,Argentina,2007-10-01,255.0,102.0,0.4,2007-10-01,72.0,28.0,0.3888888888888889,2007,2007
6,Netherlands,2006-11-01,150.0,59.0,0.3933333333333333,2007-05-01,75.0,26.0,0.3466666666666667,2006,2007
7,Denmark,2007-11-01,179.0,68.0,0.37988826815642457,,0.0,0.0,,2007,NaT
8,Angola,2008-09-01,220.0,82.0,0.37272727272727274,,0.0,0.0,,2008,NaT
9,Costa Rica,2006-02-01,57.0,21.0,0.3684210526315789,,0.0,0.0,,2006,NaT
10,Spain,2008-03-01,350.0,127.0,0.3628571428571429,2008-03-01,263.0,79.0,0.30038022813688214,2008,2008
11,Norway,2005-09-01,169.0,61.0,0.3609467455621302,,0.0,0.0,,2005,NaT
12,Belgium,2007-06-01,150.0,53.0,0.35333333333333333,2007-06-01,71.0,27.0,0.38028169014084506,2007,2007
13,Mozambique,2004-12-01,250.0,87.0,0.348,,0.0,0.0,,2004,NaT
14,Iceland,2007-05-01,63.0,21.0,0.3333333333333333,,0.0,0.0,,2007,NaT
15,Nepal,2008-04-01,594.0,197.0,0.33164983164983164,,0.0,0.0,,2008,NaT
16,New Zealand,2005-09-01,121.0,40.0,0.3305785123966942,,0.0,0.0,,2005,NaT
17,South Africa ,2004-04-01,400.0,132.0,0.33,2004-04-01,54.0,22.0,0.4074074074074074,2004,2004
18,Belarus,2008-09-01,110.0,35.0,0.3181818181818182,2008-10-01,56.0,19.0,0.3392857142857143,2008,2008
19,The F.Y.R. of Macedonia,2008-06-01,120.0,38.0,0.31666666666666665,,0.0,0.0,,2008,NaT
20,Germany,2005-09-01,613.0,194.0,0.3164763458401305,,69.0,15.0,0.21739130434782608,2005,NaT
21,Uganda,2006-02-01,332.0,102.0,0.3072289156626506,,0.0,0.0,,2006,NaT
22,Burundi,2005-07-01,118.0,36.0,0.3050847457627119,2005-07-01,49.0,17.0,0.3469387755102041,2005,2005
23,United Republic of Tanzania,2005-12-01,319.0,97.0,0.30407523510971785,,0.0,0.0,,2005,NaT
24,Peru,2006-04-01,120.0,35.0,0.2916666666666667,,0.0,0.0,,2006,NaT
"""",Timor-Leste,2007-06-01,65.0,19.0,0.2923076923076923,,0.0,0.0,,2007,NaT
25,Guyana,2006-08-01,69.0,20.0,0.2898550724637681,,0.0,0.0,,2006,NaT
26,Switzerland,2007-10-01,200.0,57.0,0.285,2007-10-01,46.0,10.0,0.21739130434782608,2007,2007
27,Portugal,2005-02-01,230.0,65.0,0.2826086956521739,,0.0,0.0,,2005,NaT
28,Afghanistan,2005-09-01,242.0,67.0,0.2768595041322314,2005-09-01,102.0,22.0,0.21568627450980393,2005,2005
29,Austria,2008-09-01,183.0,50.0,0.273224043715847,,61.0,15.0,0.2459016393442623,2008,NaT
30,Namibia,2004-11-01,78.0,21.0,0.2692307692307692,2004-11-01,26.0,7.0,0.2692307692307692,2004,2004
31,Trinidad and Tobago,2007-11-01,41.0,11.0,0.2682926829268293,2007-12-01,31.0,13.0,0.41935483870967744,2007,2007
32,Australia,2007-11-01,150.0,40.0,0.26666666666666666,2007-11-01,76.0,27.0,0.35526315789473684,2007,2007
33,Viet Nam,2007-05-01,493.0,127.0,0.25760649087221094,,0.0,0.0,,2007,NaT
34,Kyrgyzstan,2007-12-01,90.0,23.0,0.25555555555555554,,0.0,0.0,,2007,NaT
35,Iraq,2005-12-01,275.0,70.0,0.2545454545454545,,0.0,0.0,,2005,NaT
36,Lao People's Democratic Republic,2006-04-01,115.0,29.0,0.25217391304347825,,0.0,0.0,,2006,NaT
37,Andorra,2005-04-01,28.0,7.0,0.25,,0.0,0.0,,2005,NaT
"""",Ecuador,2006-10-01,100.0,25.0,0.25,,0.0,0.0,,2006,NaT
"""",Lesotho,2007-02-01,120.0,30.0,0.25,2007-03-01,31.0,9.0,0.2903225806451613,2007,2007
"""",Monaco,2008-02-01,24.0,6.0,0.25,,0.0,0.0,,2008,NaT
38,Singapore,2006-05-01,94.0,23.0,0.24468085106382978,,0.0,0.0,,2006,NaT
39,Liechtenstein,2005-03-01,25.0,6.0,0.24,,0.0,0.0,,2005,NaT
40,Seychelles,2007-05-01,34.0,8.0,0.23529411764705882,,0.0,0.0,,2007,NaT
41,Honduras,2005-11-01,128.0,30.0,0.234375,,0.0,0.0,,2005,NaT
42,Luxembourg,2004-06-01,60.0,14.0,0.23333333333333334,,0.0,0.0,,2004,NaT
43,Mexico,2006-07-01,500.0,116.0,0.232,2006-07-01,128.0,23.0,0.1796875,2006,2006
44,Tunisia,2004-10-01,189.0,43.0,0.2275132275132275,2008-08-01,112.0,17.0,0.15178571428571427,2004,2008
45,Pakistan,2008-02-01,338.0,76.0,0.22485207100591717,2006-03-01,100.0,17.0,0.17,2008,2006
"""",United Arab Emirates,2006-12-01,40.0,9.0,0.225,,0.0,0.0,,2006,NaT
46,Canada,2008-10-01,308.0,68.0,0.22077922077922077,,93.0,32.0,0.34408602150537637,2008,NaT
"""",Mauritania,2006-11-01,95.0,21.0,0.22105263157894736,2007-01-01,56.0,9.0,0.16071428571428573,2006,2007
47,Eritrea,1994-02-01,150.0,33.0,0.22,,0.0,0.0,,1994,NaT
48,Ethiopia,2005-05-01,529.0,116.0,0.21928166351606806,2005-10-01,112.0,21.0,0.1875,2005,2005
49,Republic of Moldova,2005-03-01,101.0,22.0,0.21782178217821782,,0.0,0.0,,2005,NaT
50,Bulgaria,2005-06-01,240.0,52.0,0.21666666666666667,,0.0,0.0,,2005,NaT
51,Serbia,2008-05-01,250.0,54.0,0.216,,0.0,0.0,,2008,NaT
52,China,2008-03-01,2987.0,637.0,0.2132574489454302,,0.0,0.0,,2008,NaT
"""",Italy,2008-04-01,630.0,134.0,0.2126984126984127,2008-04-01,322.0,58.0,0.18012422360248448,2008,2008
53,Croatia,2007-11-01,153.0,32.0,0.20915032679738563,,0.0,0.0,,2007,NaT
54,Estonia,2007-03-01,101.0,21.0,0.2079207920792079,,0.0,0.0,,2007,NaT
55,Philippines,2007-05-01,239.0,49.0,0.20502092050209206,2007-05-01,23.0,4.0,0.17391304347826086,2007,2007
56,Poland,2007-10-01,460.0,93.0,0.20217391304347826,2007-10-01,100.0,8.0,0.08,2007,2007
57,Democratic People's Republic of Korea,2003-08-01,687.0,138.0,0.20087336244541484,,0.0,0.0,,2003,NaT
58,Latvia,2006-10-01,100.0,20.0,0.2,,0.0,0.0,,2006,NaT
59,Dominican Republic,2006-05-01,178.0,35.0,0.19662921348314608,2006-05-01,32.0,1.0,0.03125,2006,2006
60,United Kingdom,2005-05-01,646.0,126.0,0.19504643962848298,,746.0,147.0,0.1970509383378016,2005,NaT
61,Dominica,2005-05-01,31.0,6.0,0.1935483870967742,,0.0,0.0,,2005,NaT
62,Guinea,2002-06-01,114.0,22.0,0.19298245614035087,,0.0,0.0,,2002,NaT
63,Venezuela,2005-12-01,167.0,31.0,0.18562874251497005,,0.0,0.0,,2005,NaT
64,Nicaragua,2006-11-01,92.0,17.0,0.18478260869565216,,0.0,0.0,,2006,NaT
65,France,2007-06-01,577.0,105.0,0.18197573656845753,2008-09-01,343.0,75.0,0.21865889212827988,2007,2008
"""",Saint Vincent and the Grenadines,2005-12-01,22.0,4.0,0.18181818181818182,,0.0,0.0,,2005,NaT
66,Cape Verde,2006-01-01,72.0,13.0,0.18055555555555555,,0.0,0.0,,2006,NaT
"""",Sudan,2005-08-01,443.0,80.0,0.18058690744920994,2005-08-01,50.0,3.0,0.06,2005,2005
67,Lithuania,2008-10-01,141.0,25.0,0.1773049645390071,,0.0,0.0,,2008,NaT
68,Tajikistan,2005-02-01,63.0,11.0,0.1746031746031746,2005-03-01,34.0,8.0,0.23529411764705882,2005,2005
69,Mauritius,2005-07-01,70.0,12.0,0.17142857142857143,,0.0,0.0,,2005,NaT
70,Bolivia,2005-12-01,130.0,22.0,0.16923076923076924,2005-12-01,27.0,1.0,0.037037037037037035,2005,2005
71,United States of America,2006-11-01,435.0,73.0,0.167816091954023,2006-11-01,100.0,16.0,0.16,2006,2006
72,El Salvador,2006-03-01,84.0,14.0,0.16666666666666666,,0.0,0.0,,2006,NaT
"""",Gabon,2001-12-01,120.0,20.0,0.16666666666666666,2003-02-01,91.0,14.0,0.15384615384615385,2001,2003
73,Cambodia,2008-07-01,123.0,20.0,0.16260162601626016,2006-01-01,61.0,9.0,0.14754098360655737,2008,2006
74,Turkmenistan,2004-12-01,50.0,8.0,0.16,,0.0,0.0,,2004,NaT
75,Kazakhstan,2007-08-01,107.0,17.0,0.1588785046728972,2008-10-01,47.0,0.0,0.0,2007,2008
76,Czech Republic,2006-06-01,200.0,31.0,0.155,2008-10-01,81.0,14.0,0.1728395061728395,2006,2008
77,Burkina Faso,2007-05-01,111.0,17.0,0.15315315315315314,,0.0,0.0,,2007,NaT
78,Zambia,2006-09-01,158.0,24.0,0.1518987341772152,,0.0,0.0,,2006,NaT
"""",Zimbabwe,2008-03-01,210.0,32.0,0.1523809523809524,2008-03-01,93.0,23.0,0.24731182795698925,2008,2008
79,Chile,2005-12-01,120.0,18.0,0.15,2005-12-01,38.0,2.0,0.05263157894736842,2005,2005
80,Greece,2007-09-01,300.0,44.0,0.14666666666666667,,0.0,0.0,,2007,NaT
81,Cyprus,2006-05-01,56.0,8.0,0.14285714285714285,,0.0,0.0,,2006,NaT
82,Israel,2006-03-01,120.0,17.0,0.14166666666666666,,0.0,0.0,,2006,NaT
83,Guinea-Bissau,2004-03-01,100.0,14.0,0.14,,0.0,0.0,,2004,NaT
"""",Russian Federation,2007-12-01,450.0,63.0,0.14,,169.0,8.0,0.047337278106508875,2007,NaT
84,Cameroon,2007-07-01,180.0,25.0,0.1388888888888889,,0.0,0.0,,2007,NaT
85,Djibouti,2008-02-01,65.0,9.0,0.13846153846153847,,0.0,0.0,,2008,NaT
86,Republic of Korea,2008-04-01,299.0,41.0,0.13712374581939799,,0.0,0.0,,2008,NaT
87,Grenada,2008-07-01,15.0,2.0,0.13333333333333333,2008-08-01,13.0,4.0,0.3076923076923077,2008,2008
"""",Ireland,2007-05-01,166.0,22.0,0.13253012048192772,2007-07-01,60.0,13.0,0.21666666666666667,2007,2007
"""",Slovenia,2008-09-01,90.0,12.0,0.13333333333333333,2007-11-01,40.0,1.0,0.025,2008,2007
88,Sierra Leone,2007-08-01,121.0,16.0,0.1322314049586777,,0.0,0.0,,2007,NaT
89,Malawi,2004-05-01,193.0,25.0,0.12953367875647667,,0.0,0.0,,2004,NaT
90,Liberia,2005-10-01,64.0,8.0,0.125,2005-10-01,30.0,5.0,0.16666666666666666,2005,2005
"""",Paraguay,2008-04-01,80.0,10.0,0.125,2008-04-01,45.0,7.0,0.15555555555555556,2008,2008
91,Niger,2004-12-01,113.0,14.0,0.12389380530973451,,0.0,0.0,,2004,NaT
"""",Syrian Arab Republic,2007-04-01,250.0,31.0,0.124,,0.0,0.0,,2007,NaT
92,Swaziland,2008-09-01,65.0,8.0,0.12307692307692308,2008-10-01,30.0,0.0,0.0,2008,2008
93,Bahamas,2007-05-01,41.0,5.0,0.12195121951219512,2007-05-01,15.0,9.0,0.6,2007,2007
94,Uruguay,2004-10-01,99.0,12.0,0.12121212121212122,2004-10-01,31.0,4.0,0.12903225806451613,2004,2004
95,Guatemala,2007-09-01,158.0,19.0,0.12025316455696203,,0.0,0.0,,2007,NaT
96,Bosnia and Herzegovina,2006-10-01,42.0,5.0,0.11904761904761904,2007-03-01,15.0,2.0,0.13333333333333333,2006,2007
97,San Marino,2006-06-01,60.0,7.0,0.11666666666666667,,0.0,0.0,,2006,NaT
"""",Thailand,2007-12-01,480.0,56.0,0.11666666666666667,2008-03-01,150.0,24.0,0.16,2007,2008
98,Indonesia,2004-04-01,550.0,64.0,0.11636363636363636,,0.0,0.0,,2004,NaT
99,Azerbaijan,2005-11-01,123.0,14.0,0.11382113821138211,,0.0,0.0,,2005,NaT
100,Botswana,2004-10-01,63.0,7.0,0.1111111111111111,,0.0,0.0,,2004,NaT
"""",Hungary,2006-04-01,386.0,43.0,0.11139896373056994,,0.0,0.0,,2006,NaT
"""",Montenegro,2006-09-01,81.0,9.0,0.1111111111111111,,0.0,0.0,,2006,NaT
"""",Saint Lucia,2006-12-01,18.0,2.0,0.1111111111111111,2007-01-01,11.0,3.0,0.2727272727272727,2006,2007
"""",Togo,2007-10-01,81.0,9.0,0.1111111111111111,,0.0,0.0,,2007,NaT
101,Ghana,2004-12-01,230.0,25.0,0.10869565217391304,,0.0,0.0,,2004,NaT
102,Benin,2003-03-01,83.0,9.0,0.10843373493975904,,0.0,0.0,,2003,NaT
"""",Malaysia,2008-03-01,222.0,24.0,0.10810810810810811,,59.0,17.0,0.288135593220339,2008,NaT
103,Antigua and Barbuda,2004-03-01,19.0,2.0,0.10526315789473684,2004-03-01,17.0,4.0,0.23529411764705882,2004,2004
"""",Central African Republic,2005-03-01,105.0,11.0,0.10476190476190476,,0.0,0.0,,2005,NaT
104,Mali,2007-07-01,147.0,15.0,0.10204081632653061,,0.0,0.0,,2007,NaT
105,Barbados,2008-01-01,30.0,3.0,0.1,2008-02-01,21.0,4.0,0.19047619047619047,2008,2008
106,Kenya,2007-12-01,224.0,22.0,0.09821428571428571,,0.0,0.0,,2007,NaT
107,Gambia,2002-01-01,53.0,5.0,0.09433962264150944,,0.0,0.0,,2002,NaT
"""",Japan,2005-09-01,480.0,45.0,0.09375,2007-07-01,242.0,44.0,0.18181818181818182,2005,2007
"""",Romania,2004-11-01,330.0,31.0,0.09393939393939393,2004-11-01,137.0,14.0,0.10218978102189781,2004,2004
108,India,2004-04-01,541.0,49.0,0.09057301293900184,2008-06-01,243.0,23.0,0.09465020576131687,2004,2008
109,Brazil,2006-10-01,513.0,46.0,0.08966861598440545,2006-10-01,81.0,10.0,0.12345679012345678,2006,2006
110,Cote d'Ivoire,2000-12-01,203.0,18.0,0.08866995073891626,,0.0,0.0,,2000,NaT
111,Malta,2008-03-01,69.0,6.0,0.08695652173913043,,0.0,0.0,,2008,NaT
112,Bhutan,2008-03-01,47.0,4.0,0.0851063829787234,2007-12-01,25.0,6.0,0.24,2008,2007
113,Armenia,2007-05-01,131.0,11.0,0.08396946564885496,,0.0,0.0,,2007,NaT
"""",Democratic Republic of the Congo,2006-07-01,500.0,42.0,0.084,2007-01-01,108.0,5.0,0.046296296296296294,2006,2007
114,Samoa,2006-03-01,49.0,4.0,0.08163265306122448,,0.0,0.0,,2006,NaT
"""",Somalia,2004-08-01,256.0,21.0,0.08203125,,0.0,0.0,,2004,NaT
"""",Ukraine,2007-09-01,450.0,37.0,0.08222222222222222,,0.0,0.0,,2007,NaT
115,Madagascar,2007-09-01,127.0,10.0,0.07874015748031496,2008-04-01,33.0,5.0,0.15151515151515152,2007,2008
116,Algeria,2007-05-01,389.0,30.0,0.07712082262210797,2006-12-01,136.0,4.0,0.029411764705882353,2007,2006
117,Congo,2007-06-01,137.0,10.0,0.072992700729927,2008-08-01,70.0,9.0,0.12857142857142856,2007,2008
118,Albania,2005-07-01,140.0,10.0,0.07142857142857142,,0.0,0.0,,2005,NaT
119,Nigeria,2007-04-01,358.0,25.0,0.06983240223463687,2007-04-01,109.0,9.0,0.08256880733944955,2007,2007
120,Saint Kitts and Nevis,2004-10-01,15.0,1.0,0.06666666666666667,,0.0,0.0,,2004,NaT
121,Jordan,2007-11-01,110.0,7.0,0.06363636363636363,2007-11-01,55.0,7.0,0.12727272727272726,2007,2007
122,Equatorial Guinea,2008-05-01,100.0,6.0,0.06,,0.0,0.0,,2008,NaT
"""",Georgia,2008-05-01,150.0,9.0,0.06,,0.0,0.0,,2008,NaT
123,Sri Lanka,2004-04-01,225.0,13.0,0.057777777777777775,,0.0,0.0,,2004,NaT
124,Chad,2002-04-01,155.0,8.0,0.05161290322580645,,0.0,0.0,,2002,NaT
125,Lebanon,2005-05-01,128.0,6.0,0.046875,,0.0,0.0,,2005,NaT
126,Kiribati,2007-08-01,46.0,2.0,0.043478260869565216,,0.0,0.0,,2007,NaT
127,Mongolia,2008-06-01,72.0,3.0,0.041666666666666664,,0.0,0.0,,2008,NaT
128,Haiti,2006-02-01,98.0,4.0,0.04081632653061224,2006-02-01,18.0,2.0,0.1111111111111111,2006,2006
129,Vanuatu,2008-09-01,52.0,2.0,0.038461538461538464,,0.0,0.0,,2008,NaT
130,Kuwait ,2008-05-01,65.0,2.0,0.03076923076923077,,0.0,0.0,,2008,NaT
"""",Tonga ,2008-04-01,32.0,1.0,0.03125,,0.0,0.0,,2008,NaT
131,Comoros,2004-04-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,2004,NaT
"""",Marshall Islands,2007-11-01,33.0,1.0,0.030303030303030304,,0.0,0.0,,2007,NaT
132,Iran Islamic Republic of,2008-03-01,286.0,8.0,0.027972027972027972,,0.0,0.0,,2008,NaT
133,Bahrain,2006-11-01,40.0,1.0,0.025,2006-12-01,40.0,10.0,0.25,2006,2006
134,Egypt,2005-11-01,442.0,8.0,0.01809954751131222,2007-06-01,264.0,18.0,0.06818181818181818,2005,2007
"""",Sao Tome and Principe,2006-03-01,55.0,1.0,0.01818181818181818,,0.0,0.0,,2006,NaT
135,Papua New Guinea,2007-06-01,109.0,1.0,0.009174311926605505,,0.0,0.0,,2007,NaT
136,Yemen,2003-04-01,301.0,1.0,0.0033222591362126247,2001-04-01,111.0,2.0,0.018018018018018018,2003,2001
137,Belize,2008-02-01,32.0,0.0,0.0,2008-03-01,13.0,5.0,0.38461538461538464,2008,2008
"""",Micronesia Federated States of,2005-03-01,14.0,0.0,0.0,,0.0,0.0,,2005,NaT
"""",Nauru,2008-04-01,18.0,0.0,0.0,,0.0,0.0,,2008,NaT
"""",Oman,2007-10-01,84.0,0.0,0.0,2007-11-01,70.0,14.0,0.2,2007,2007
"""",Qatar,2008-07-01,35.0,0.0,0.0,,0.0,0.0,,2008,NaT
Date: 2023-02-19,,,,,,,0.0,0.0,,NaT,NaT
Ranking as of 1st October 2019,,,,,,,0.0,0.0,,NaT,NaT
,,,,,,,0.0,0.0,,NaT,NaT
Rank,Country,,,,,,0.0,0.0,,NaT,NaT
1,Rwanda,2018-09-01,80.0,49.0,0.6125,2019-09-01,26.0,10.0,0.38461538461538464,2018,2019
2,Cuba,2018-03-01,605.0,322.0,0.5322314049586777,,0.0,0.0,,2018,NaT
3,Bolivia Plurinational State of,2014-10-01,130.0,69.0,0.5307692307692308,2014-10-01,36.0,17.0,0.4722222222222222,2014,2014
4,Andorra,2019-04-01,28.0,14.0,0.5,,0.0,0.0,,2019,NaT
5,Mexico,2018-07-01,500.0,241.0,0.482,2018-07-01,128.0,63.0,0.4921875,2018,2018
6,Spain,2019-04-01,350.0,166.0,0.4742857142857143,2019-04-01,261.0,103.0,0.3946360153256705,2019,2019
7,Sweden,2018-09-01,349.0,165.0,0.47277936962750716,,0.0,0.0,,2018,NaT
8,Finland,2019-04-01,200.0,94.0,0.47,,0.0,0.0,,2019,NaT
9,Grenada,2018-03-01,15.0,7.0,0.4666666666666667,2018-04-01,13.0,4.0,0.3076923076923077,2018,2018
10,Namibia,2014-11-01,104.0,48.0,0.46153846153846156,2015-12-01,42.0,10.0,0.23809523809523808,2014,2015
11,South Africa,2019-05-01,396.0,181.0,0.45707070707070707,2019-05-01,53.0,20.0,0.37735849056603776,2019,2019
12,Costa Rica,2018-02-01,57.0,26.0,0.45614035087719296,,0.0,0.0,,2018,NaT
13,Nicaragua,2016-11-01,92.0,41.0,0.44565217391304346,,0.0,0.0,,2016,NaT
14,Belgium,2019-05-01,150.0,63.0,0.42,2019-07-01,60.0,28.0,0.4666666666666667,2019,2019
15,Senegal,2017-07-01,165.0,69.0,0.41818181818181815,,0.0,0.0,,2017,NaT
16,New Zealand,2017-09-01,120.0,49.0,0.4083333333333333,,0.0,0.0,,2017,NaT
“,Norway,2017-09-01,169.0,69.0,0.40828402366863903,,0.0,0.0,,2017,NaT
18,France,2017-06-01,577.0,229.0,0.3968804159445407,2017-09-01,348.0,112.0,0.3218390804597701,2017,2017
19,Mozambique,2014-10-01,250.0,99.0,0.396,,0.0,0.0,,2014,NaT
20,Austria,2019-09-01,183.0,72.0,0.39344262295081966,,61.0,22.0,0.36065573770491804,2019,NaT
21,North Macedonia,2016-12-01,120.0,47.0,0.39166666666666666,,0.0,0.0,,2016,NaT
22,Denmark,2019-06-01,179.0,70.0,0.39106145251396646,,0.0,0.0,,2019,NaT
23,Argentina,2017-10-01,257.0,100.0,0.38910505836575876,2017-10-01,72.0,30.0,0.4166666666666667,2017,2017
24,Ethiopia,2015-05-01,547.0,212.0,0.3875685557586837,2015-10-01,153.0,49.0,0.3202614379084967,2015,2015
25,Timor-Leste,2018-05-01,65.0,25.0,0.38461538461538464,,0.0,0.0,,2018,NaT
26,Iceland,2017-10-01,63.0,24.0,0.38095238095238093,,0.0,0.0,,2017,NaT
27,Ecuador,2017-02-01,137.0,52.0,0.3795620437956204,,0.0,0.0,,2017,NaT
28,Serbia,2016-04-01,247.0,93.0,0.3765182186234818,,0.0,0.0,,2016,NaT
29,United Republic of Tanzania,2015-10-01,393.0,145.0,0.36895674300254455,,0.0,0.0,,2015,NaT
30,Burundi,2015-06-01,121.0,44.0,0.36363636363636365,2015-07-01,39.0,18.0,0.46153846153846156,2015,2015
31,Tunisia,2014-10-01,217.0,78.0,0.35944700460829493,,0.0,0.0,,2014,NaT
32,Italy,2018-03-01,630.0,225.0,0.35714285714285715,2018-03-01,320.0,110.0,0.34375,2018,2018
33,Uganda,2016-02-01,459.0,160.0,0.3485838779956427,,0.0,0.0,,2016,NaT
34,Portugal,2015-10-01,230.0,80.0,0.34782608695652173,,0.0,0.0,,2015,NaT
35,Belarus,2016-09-01,110.0,38.0,0.34545454545454546,2016-09-01,56.0,17.0,0.30357142857142855,2016,2016
36,Monaco,2018-02-01,24.0,8.0,0.3333333333333333,,0.0,0.0,,2018,NaT
37,Nepal,2017-11-01,275.0,90.0,0.32727272727272727,2018-02-01,59.0,22.0,0.3728813559322034,2017,2018
38,Switzerland,2015-10-01,200.0,65.0,0.325,2015-10-01,46.0,7.0,0.15217391304347827,2015,2015
39,United Kingdom,2017-06-01,650.0,208.0,0.32,,789.0,208.0,0.26362484157160965,2017,NaT
40,Guyana,2015-05-01,69.0,22.0,0.3188405797101449,,0.0,0.0,,2015,NaT
“,Zimbabwe,2018-07-01,270.0,86.0,0.31851851851851853,2018-07-01,80.0,35.0,0.4375,2018,2018
42,Netherlands,2017-03-01,150.0,47.0,0.31333333333333335,2019-05-01,75.0,29.0,0.38666666666666666,2017,2019
43,Cameroon,2013-09-01,180.0,56.0,0.3111111111111111,2018-03-01,100.0,26.0,0.26,2013,2018
44,El Salvador,2018-03-01,84.0,26.0,0.30952380952380953,,0.0,0.0,,2018,NaT
“,Trinidad and Tobago,2015-09-01,42.0,13.0,0.30952380952380953,2015-09-01,31.0,11.0,0.3548387096774194,2015,2015
46,Germany,2017-09-01,709.0,219.0,0.30888575458392104,,69.0,27.0,0.391304347826087,2017,NaT
47,Australia,2019-05-01,151.0,46.0,0.304635761589404,2019-05-01,76.0,37.0,0.4868421052631579,2019,2019
48,Angola,2017-08-01,220.0,66.0,0.3,,0.0,0.0,,2017,NaT
“,Latvia,2018-10-01,100.0,30.0,0.3,,0.0,0.0,,2018,NaT
“,Peru,2016-04-01,130.0,39.0,0.3,,0.0,0.0,,2016,NaT
51,Estonia,2019-03-01,101.0,30.0,0.297029702970297,,0.0,0.0,,2019,NaT
52,Albania,2017-06-01,122.0,36.0,0.29508196721311475,,0.0,0.0,,2017,NaT
53,Suriname,2015-05-01,51.0,15.0,0.29411764705882354,,0.0,0.0,,2015,NaT
54,Poland,2015-10-01,460.0,134.0,0.29130434782608694,2015-10-01,100.0,14.0,0.14,2015,2015
55,South Sudan,2016-08-01,383.0,109.0,0.2845953002610966,2011-08-01,50.0,6.0,0.12,2016,2011
56,Philippines,2019-05-01,304.0,85.0,0.27960526315789475,2019-05-01,24.0,7.0,0.2916666666666667,2019,2019
57,Afghanistan,2018-10-01,244.0,68.0,0.2786885245901639,2015-01-01,68.0,17.0,0.25,2018,2015
58,Slovenia,2018-06-01,90.0,25.0,0.2777777777777778,2017-11-01,40.0,4.0,0.1,2018,2017
59,Lao People's Democratic Republic,2016-03-01,149.0,41.0,0.2751677852348993,,0.0,0.0,,2016,NaT
60,Kazakhstan,2016-03-01,107.0,29.0,0.27102803738317754,2017-06-01,47.0,5.0,0.10638297872340426,2016,2017
61,Canada,2015-10-01,334.0,90.0,0.2694610778443114,,105.0,49.0,0.4666666666666667,2015,NaT
62,Dominican Republic,2016-05-01,190.0,51.0,0.26842105263157895,2016-05-01,32.0,3.0,0.09375,2016,2016
63,Viet Nam,2016-05-01,494.0,132.0,0.26720647773279355,,0.0,0.0,,2016,NaT
64,Djibouti,2018-02-01,65.0,17.0,0.26153846153846155,,0.0,0.0,,2018,NaT
65,Algeria,2017-05-01,462.0,119.0,0.25757575757575757,2018-12-01,132.0,9.0,0.06818181818181818,2017,2018
