rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
52,Tajikistan,2000-02-01,63.0,8.0,0.12698412698412698,2000-03-01,34.0,4.0,0.11764705882352941,2000,2000
53,Mali,1997-07-01,147.0,18.0,0.12244897959183673,,0.0,0.0,,1997,NaT
"""",Slovenia,2000-10-01,90.0,11.0,0.12222222222222222,,0.0,0.0,,2000,NaT
54,Uruguay,1999-10-01,99.0,12.0,0.12121212121212122,1999-10-01,31.0,3.0,0.0967741935483871,1999,1999
55,Congo,1998-01-01,75.0,9.0,0.12,,0.0,0.0,,1998,NaT
"""",Ireland,1997-06-01,166.0,20.0,0.12048192771084337,1997-08-01,60.0,11.0,0.18333333333333332,1997,1997
56,Colombia,1998-03-01,161.0,19.0,0.11801242236024845,1998-03-01,102.0,13.0,0.12745098039215685,1998,1998
57,Bolivia,1997-06-01,130.0,15.0,0.11538461538461539,1997-06-01,27.0,1.0,0.037037037037037035,1997,1997
"""",Tunisia,1999-10-01,182.0,21.0,0.11538461538461539,,0.0,0.0,,1999,NaT
58,Cape Verde,2001-01-01,72.0,8.0,0.1111111111111111,,0.0,0.0,,2001,NaT
"""",Saint Lucia,1997-05-01,18.0,2.0,0.1111111111111111,1997-05-01,11.0,2.0,0.18181818181818182,1997,1997
"""",Trinidad and Tobago,2000-12-01,36.0,4.0,0.1111111111111111,1995-11-01,31.0,10.0,0.3225806451612903,2000,1995
59,France,1997-05-01,577.0,63.0,0.10918544194107452,2001-09-01,321.0,35.0,0.10903426791277258,1997,2001
60,Chile,1997-12-01,120.0,13.0,0.10833333333333334,1997-12-01,48.0,2.0,0.041666666666666664,1997,1997
61,Barbados,1999-01-01,28.0,3.0,0.10714285714285714,1999-01-01,21.0,7.0,0.3333333333333333,1999,1999
"""",Cyprus,2001-05-01,56.0,6.0,0.10714285714285714,,0.0,0.0,,2001,NaT
"""",Romania,2000-11-01,345.0,37.0,0.1072463768115942,2000-11-01,140.0,8.0,0.05714285714285714,2000,2000
62,Lithuania,2000-10-01,141.0,15.0,0.10638297872340426,,0.0,0.0,,2000,NaT
63,Azerbaijan,2000-11-01,124.0,13.0,0.10483870967741936,,0.0,0.0,,2000,NaT
"""",Mongolia,2000-07-01,76.0,8.0,0.10526315789473684,,0.0,0.0,,2000,NaT
64,Kazakhstan,1999-10-01,77.0,8.0,0.1038961038961039,1999-09-01,39.0,5.0,0.1282051282051282,1999,1999
"""",Malaysia,1999-11-01,193.0,20.0,0.10362694300518134,1998-03-01,69.0,18.0,0.2608695652173913,1999,1998
"""",Syrian Arab Republic,1998-11-01,250.0,26.0,0.104,,0.0,0.0,,1998,NaT
65,Belarus,2000-10-01,97.0,10.0,0.10309278350515463,2000-12-01,61.0,19.0,0.3114754098360656,2000,2000
66,Zambia,1996-11-01,158.0,16.0,0.10126582278481013,,0.0,0.0,,1996,NaT
67,Kyrgyzstan,2000-02-01,60.0,6.0,0.1,2000-02-01,45.0,1.0,0.022222222222222223,2000,2000
"""",Zimbabwe,2000-06-01,150.0,15.0,0.1,,0.0,0.0,,2000,NaT
68,Panama,1999-05-01,71.0,7.0,0.09859154929577464,,0.0,0.0,,1999,NaT
69,Italy,2001-05-01,630.0,62.0,0.09841269841269841,2001-05-01,326.0,25.0,0.07668711656441718,2001,2001
70,Nicaragua,1996-10-01,93.0,9.0,0.0967741935483871,,0.0,0.0,,1996,NaT
"""",Sudan,2000-12-01,360.0,35.0,0.09722222222222222,,0.0,0.0,,2000,NaT
"""",Venezuela,2000-07-01,165.0,16.0,0.09696969696969697,,0.0,0.0,,2000,NaT
71,El Salvador,2000-03-01,84.0,8.0,0.09523809523809523,,0.0,0.0,,2000,NaT
72,Honduras,1997-11-01,128.0,12.0,0.09375,,0.0,0.0,,1997,NaT
73,Bhutan,,150.0,14.0,0.09333333333333334,,0.0,0.0,,NaT,NaT
"""",Malawi,1999-06-01,193.0,18.0,0.09326424870466321,,0.0,0.0,,1999,NaT
74,Gabon,1996-12-01,120.0,11.0,0.09166666666666666,1997-01-01,91.0,12.0,0.13186813186813187,1996,1997
"""",Malta,1998-09-01,65.0,6.0,0.09230769230769231,,0.0,0.0,,1998,NaT
"""",Thailand,2001-01-01,500.0,46.0,0.092,2000-03-01,200.0,21.0,0.105,2001,2000
75,Sao Tome and Principe,1998-11-01,55.0,5.0,0.09090909090909091,,0.0,0.0,,1998,NaT
76,Ghana,2000-12-01,200.0,18.0,0.09,,0.0,0.0,,2000,NaT
77,Guatemala,1999-11-01,113.0,10.0,0.08849557522123894,,0.0,0.0,,1999,NaT
"""",Guinea,1995-06-01,114.0,10.0,0.08771929824561403,,0.0,0.0,,1995,NaT
"""",India,1999-09-01,543.0,48.0,0.08839779005524862,2000-03-01,220.0,0.0,0.0,1999,2000
"""",Sierra Leone,1996-02-01,80.0,7.0,0.0875,,0.0,0.0,,1996,NaT
78,Greece,2000-04-01,300.0,26.0,0.08666666666666667,,0.0,0.0,,2000,NaT
79,Cote d'Ivoire,2000-12-01,223.0,19.0,0.08520179372197309,,0.0,0.0,,2000,NaT
80,Hungary,1998-05-01,386.0,32.0,0.08290155440414508,,0.0,0.0,,1998,NaT
81,Burkina Faso,1997-05-01,111.0,9.0,0.08108108108108109,1995-12-01,162.0,21.0,0.12962962962962962,1997,1995
82,Indonesia,1999-06-01,500.0,40.0,0.08,,0.0,0.0,,1999,NaT
"""",Madagascar,1998-05-01,150.0,12.0,0.08,,0.0,0.0,,1998,NaT
83,Guinea-Bissau,1999-11-01,102.0,8.0,0.0784313725490196,,0.0,0.0,,1999,NaT
"""",Liberia,1997-07-01,64.0,5.0,0.078125,1997-07-01,26.0,5.0,0.19230769230769232,1997,1997
"""",Ukraine,1998-03-01,450.0,35.0,0.07777777777777778,,0.0,0.0,,1998,NaT
84,Ethiopia,2000-05-01,547.0,42.0,0.07678244972577697,2000-05-01,120.0,10.0,0.08333333333333333,2000,2000
85,Iraq,2000-03-01,250.0,19.0,0.076,,0.0,0.0,,2000,NaT
"""",Russian Federation,1999-12-01,449.0,34.0,0.0757238307349666,,178.0,1.0,0.0056179775280898875,1999,NaT
86,Cambodia,1998-07-01,122.0,9.0,0.07377049180327869,1999-03-01,61.0,8.0,0.13114754098360656,1998,1999
87,Central African Republic,1998-11-01,109.0,8.0,0.07339449541284404,,0.0,0.0,,1998,NaT
"""",Japan,2000-06-01,480.0,35.0,0.07291666666666667,2001-07-01,247.0,0.0,0.0,2000,2001
88,Georgia,1999-10-01,235.0,17.0,0.07234042553191489,,0.0,0.0,,1999,NaT
