Source: Inter-Parliamentary Union Open Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Date: 2023-02-19,,,,,,,,,
Ranking as of 1st December 2021,,,,,,,,,
,,,,,,,,,
Rank,Country,Lower or single House,,,,Upper chamber,,,
,,Elections,Seats*,Women,% W,Elections,Seats*,Women,% W
172,Micronesia (Federated States of),03.2021,14,1,7.1,-,-,-,-
173,Kiribati,04.2020,45,3,6.7,-,-,-,-
174,Burkina Faso,11.2020,127,8,6.3,-,-,-,-
“,Palau,11.2020,16,1,6.3,11.2020,13,1,7.7
“,Tuvalu,09.2019,16,1,6.3,-,-,-,-
177,Marshall Islands,11.2019,33,2,6.1,-,-,-,-
178,Iran (Islamic Republic of),02.2020,286,16,5.6,-,-,-,-
179,Sri Lanka,08.2020,223,12,5.4,-,-,-,-
180,Lebanon,05.2018,128,6,4.7,-,-,-,-
181,Maldives,04.2019,87,4,4.6,-,-,-,-
182,Qatar,10.2021,45,2,4.4,-,-,-,-
183,Nigeria,02.2019,360,13,3.6,02.2019,109,8,7.3
184,Oman,10.2019,86,2,2.3,11.2019,86,15,17.4
185,Kuwait,12.2020,65,1,1.5,-,-,-,-
186,Papua New Guinea,06.2017,111,0,0,-,-,-,-
“,Tonga,11.2021,26,0,0,-,-,-,-
“,Vanuatu,03.2020,52,0,0,-,-,-,-
“,Yemen,04.2003,250,0,0,04.2001,90,1,1.1
,Eritrea,02.1994,-,-,-,-,-,-,-
,Guinea,03.2020,-,-,-,-,-,-,-
,Haiti,08.2015,-,-,-,11.2016,10,0,0
Suspended,Sudan,-,-,-,-,-,-,-,-
