Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1998,349,149,42.7,---,---,---,---
2,Denmark,03 1998,179,67,37.4,---,---,---,---
3,Finland,03 1999,200,73,36.5,---,---,---,---
4,Norway,09 1997,165,60,36.4,---,---,---,---
5,Netherlands,05 1998,150,54,36.0,05 1999,75,20,26.7
6,Iceland,05 1999,63,22,34.9,---,---,---,---
7,Germany,09 1998,669,207,30.9,01 2000,69,41,59.4
8,Mozambique,12 1999,250,75,30.0,---,---,---,---
9,South Africa,06 1999,399,119,29.8,06 1999,53,17,32.1
10,New Zealand,11 1999,120,35,29.2,---,---,---,---
11,Bosnia and Herzegovina,09 1998,42,12,28.6,09 1998,15,0,0.0
"""",Venezuela,02 2000,21,6,28.6,---,---,---,---
12,Spain,03 2000,350,99,28.3,03 2000,259,59,22.8
13,Cuba,01 1998,601,166,27.6,---,---,---,---
14,Austria,10 1999,183,49,26.8,N.A.,64,13,20.3
15,Grenada,01 1999,15,4,26.7,01 1999,13,1,7.7
16,Argentina,10 1999,257,68,26.5,12 1998,72,2,2.8
17,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
"""",Viet Nam,07 1997,450,117,26.0,---,---,---,---
18,Namibia,11 1999,72,18,25.0,11 1998,26,2,7.7
19,Seychelles,03 1998,34,8,23.5,---,---,---,---
20,Belgium,06 1999,150,35,23.3,06 1999,71,20,28.2
21,Switzerland,10 1999,200,46,23.0,10 1999,46,9,19.6
22,Australia,10 1998,147,33,22.4,10 1998,76,22,28.9
23,Monaco,02 1998,18,4,22.2,---,---,---,---
24,China,1997-98,2984,650,21.8,---,---,---,---
25,Lao People's Democratic Rep.,12 1997,99,21,21.2,---,---,---,---
26,Croatia,01 2000,151,31,20.5,04 1997,67,4,6.0
27,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
28,Canada,06 1997,301,60,19.9,N.A.,105,32,30.5
29,Costa Rica,02 1998,57,11,19.3,---,---,---,---
30,Portugal,10 1999,230,43,18.7,---,---,---,---
31,Guyana,12 1997,65,12,18.5,---,---,---,---
32,United Kingdom,05 1997,659,121,18.4,N.A.,666,105,15.8
33,Mexico,07 1997,500,91,18.2,07 1997,128,22,17.2
34,Uganda,06 1996,279,50,17.9,---,---,---,---
35,Estonia,03 1999,101,18,17.8,---,---,---,---
36,Lithuania,10 1996,137,24,17.5,---,---,---,---
37,Rwanda,11 1994,70,12,17.1,---,---,---,---
38,Botswana,10 1999,47,8,17.0,---,---,---,---
"""",Latvia,10 1998,100,17,17.0,---,---,---,---
39,Luxembourg,06 1999,60,10,16.7,---,---,---,---
40,United Rep. of Tanzania,10 1995,275,45,16.4,---,---,---,---
41,Dominican Republic,05 1998,149,24,16.1,05 1998,30,2,6.7
42,Suriname,05 1996,51,8,15.7,---,---,---,---
43,Angola,09 1992,220,34,15.5,---,---,---,---
44,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,06 1998,200,30,15.0,11 1998,81,9,11.1
45,Eritrea,02 1994,150,22,14.7,---,---,---,---
46,Ecuador,05 1998,123,18,14.6,---,---,---,---
47,Burundi,06 1993,118,17,14.4,---,---,---,---
48,Slovakia,09 1998,150,21,14.0,---,---,---,---
"""",Zimbabwe,04 1995,150,21,14.0,---,---,---,---
49,Jamaica,12 1997,60,8,13.3,12 1997,21,5,23.8
"""",Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
"""",San Marino,05 1998,60,8,13.3,---,---,---,---
50,Poland,09 1997,460,60,13.0,09 1997,100,11,11.0
51,United States of America,11 1998,435,56,12.9,11 1998,100,9,9.0
