Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
31,Ecuador,10 2006,100,25,25.0,---,---,---,---
"""",Switzerland,10 2003,200,50,25.0,10 2003,46,11,23.9
32,Lithuania,10 2004,141,35,24.8,---,---,---,---
33,Australia,10 2004,150,37,24.7,10 2004,76,27,35.5
34,Singapore,05 2006,94,23,24.5,---,---,---,---
35,Liechtenstein,03 2005,25,6,24.0,---,---,---,---
36,Estonia,03 2007,101,24,23.8,---,---,---,---
37,Lesotho,02 2007,119,28,23.5,03 2007,33,10,30.3
38,Honduras,11 2005,128,30,23.4,---,---,---,---
39,Luxembourg,06 2004,60,14,23.3,---,---,---,---
40,Tunisia,10 2004,189,43,22.8,07 2005,112,15,13.4
41,Mexico,07 2006,500,113,22.6,07 2006,128,22,17.2
42,United Arab Emirates,12 2006,40,9,22.5,---,---,---,---
43,Bulgaria,06 2005,240,53,22.1,---,---,---,---
44,Eritrea,02 1994,150,33,22.0,---,---,---,---
45,Ethiopia,05 2005,529,116,21.9,10 2005,112,21,18.8
46,Republic of Moldova,03 2005,101,22,21.8,---,---,---,---
47,Croatia,11 2003,152,33,21.7,---,---,---,---
48,Pakistan,10 2002,342,73,21.3,03 2006,100,17,17.0
"""",Portugal,02 2005,230,49,21.3,---,---,---,---
49,Canada,01 2006,308,64,20.8,N.A.,100,35,35.0
"""",Monaco,02 2003,24,5,20.8,---,---,---,---
50,Poland,09 2005,460,94,20.4,09 2005,100,13,13.0
"""",Serbia,01 2007,250,51,20.4,---,---,---,---
51,China,02 2003,2980,604,20.3,---,---,---,---
52,Dem. People's Rep. of Korea,08 2003,687,138,20.1,---,---,---,---
53,Bahamas,05 2002,40,8,20.0,05 2002,16,7,43.8
"""",Slovakia,06 2006,150,30,20.0,---,---,---,---
54,Dominican Republic,05 2006,178,35,19.7,05 2006,32,1,3.1
"""",United Kingdom,05 2005,646,127,19.7,N.A.,751,142,18.9
55,Trinidad and Tobago,10 2002,36,7,19.4,10 2002,31,10,32.3
56,Guinea,06 2002,114,22,19.3,---,---,---,---
57,Senegal,04 2001,120,23,19.2,---,---,---,---
58,Latvia,10 2006,100,19,19.0,---,---,---,---
59,Venezuela,12 2005,167,31,18.6,---,---,---,---
60,Nicaragua,11 2006,92,17,18.5,---,---,---,---
61,Saint Vincent & the Grenadines,12 2005,22,4,18.2,---,---,---,---
62,Equatorial Guinea,04 2004,100,18,18.0,---,---,---,---
63,Mauritania,11 2006,95,17,17.9,01 2007,53,9,17.0
64,Sudan,08 2005,450,80,17.8,08 2005,50,2,4.0
65,Tajikistan,02 2005,63,11,17.5,03 2005,34,8,23.5
"""",Uzbekistan,12 2004,120,21,17.5,01 2005,100,15,15.0
66,Italy,04 2006,630,109,17.3,04 2006,322,44,13.7
"""",Nepal,01 2007,329,57,17.3,---,---,---,---
67,Mauritius,07 2005,70,12,17.1,---,---,---,---
68,Bolivia,12 2005,130,22,16.9,12 2005,27,1,3.7
69,El Salvador,03 2006,84,14,16.7,---,---,---,---
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",Zimbabwe,03 2005,150,25,16.7,11 2005,66,23,34.8
70,United States of America,11 2006,435,71,16.3,11 2006,100,16,16.0
71,Turkmenistan,12 2004,50,8,16.0,---,---,---,---
72,Czech Republic,06 2006,200,31,15.5,10 2006,81,12,14.8
73,Cape Verde,01 2006,72,11,15.3,---,---,---,---
"""",Philippines,05 2004,236,36,15.3,05 2004,24,4,16.7
74,Bangladesh 2,10 2001,345,52,15.1,---,---,---,---
75,Angola,09 1992,220,33,15.0,---,---,---,---
