Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1994,349,141,40.4,---,---,---,---
2,Denmark,03 1998,179,67,37.4,---,---,---,---
3,Norway,09 1997,165,60,36.4,---,---,---,---
4,Finland,03 1995,200,67,33.5,---,---,---,---
5,Netherlands,05 1994,150,47,31.3,05 1995,75,17,22.7
6,New Zealand,10 1996,120,35,29.2,---,---,---,---
7,Argentina,10 1997,257,71,27.6,12 1995,72,4,5.6
"""",Cuba,01 1998,601,166,27.6,---,---,---,---
8,Austria,12 1995,183,48,26.2,11 1994,64,13,20.3
"""",Germany,10 1994,672,176,26.2,1997*,69,13,18.8
"""",Viet Nam,07 1997,450,118,26.2,---,---,---,---
9,Iceland,04 1995,63,16,25.4,---,---,---,---
10,Mozambique,10 1994,250,63,25.2,---,---,---,---
11,South Africa,04 1994,400,100,25.0,04 1994,90,16,17.8
12,Spain,03 1996,348,86,24.7,03 1996,256,34,13.3
13,Seychelles,03 1998,34,8,23.5,---,---,---,---
14,Monaco,02 1998,18,4,22.2,---,---,---,---
"""",Namibia,12 1994,72,16,22.2,01 1992,26,1,3.8
15,China,1997-98,2979,650,21.8,---,---,---,---
16,Lao People's Democratic Rep.,12 1997,99,21,21.2,---,---,---,---
17,Eritrea,02 1994,105,22,21.0,---,---,---,---
"""",Switzerland,10 1995,200,42,21.0,10 1995,46,8,17.4
18,Canada,06 1997,301,62,20.6,1998,100,29,29.0
19,Dem. People's Rep. of Korea,04 1990,687,138,20.1,---,---,---,---
20,Grenada,06 1995,15,3,20.0,06 1995,13,?,?
"""",Luxembourg,06 1994,60,12,20.0,---,---,---,---
21,Costa Rica,02 1998,57,11,19.3,---,---,---,---
22,United Kingdom,05 1997,659,120,18.2,1998*,1272,?,?
23,Uganda,06 1996,276,50,18.1,---,---,---,---
24,Turkmenistan,12 1994,50,9,18.0,---,---,---,---
25,Lithuania,10 1996,137,24,17.5,---,---,---,---
"""",United Rep. of Tanzania,10 1995,275,48,17.5,---,---,---,---
26,Mexico,07 1997,500,87,17.4,07 1997,128,19,14.8
27,Rwanda,11 1994,70,12,17.1,---,---,---,---
28,El Salvador,03 1997,84,14,16.7,---,---,---,---
29,Suriname,05 1996,51,8,15.7,---,---,---,---
30,Angola,09 1992,220,34,15.5,---,---,---,---
"""",Australia,03 1996,148,23,15.5,03 1996,76,23,30.3
31,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,05 1996,200,30,15.0,11 1996,81,9,11.1
32,Slovakia,10 1994,150,22,14.7,---,---,---,---
"""",Zimbabwe,04 1995,150,22,14.7,---,---,---,---
33,Jamaica,12 1997,59,8,13.6,01 1998,21,5,23.8
34,Kazakhstan,12 1995,67,9,13.4,12 1995,47,4,8.5
35,Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
36,Poland,09 1997,460,60,13.0,09 1997,100,11,11.0
"""",Portugal,10 1995,230,30,13.0,---,---,---,---
37,Belgium,05 1995,150,19,12.7,05 1995,71,16,22.5
38,Guatemala,11 1995,80,10,12.5,---,---,---,---
39,Mali,07 1997,147,18,12.2,---,---,---,---
40,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
"""",Congo,01 1998,75,9,12.0,---,---,---,---
"""",Ireland,06 1997,166,20,12.0,08 1997,60,11,18.3
41,Saint Lucia,05 1997,17,2,11.8,05 1997,11,2,18.2
42,Dominican Republic,05 1994,120,14,11.7,05 1994,30,1,3.3
"""",San Marino,05 1993,60,7,11.7,---,---,---,---
"""",Senegal,05 1993,120,14,11.7,---,---,---,---
"""",United States of America,11 1996,435,51,11.7,11 1996,100,9,9.0
43,Indonesia,05 1997,500,57,11.4,---,---,---,---
44,Cape Verde,12 1995,72,8,11.1,---,---,---,---
"""",Italy,04 1996,630,70,11.1,04 1996,326,26,8.0
"""",Trinidad and Tobago,11 1995,36,4,11.1,11 1995,31,9,29.0
45,Estonia,03 1995,101,11,10.9,---,---,---,---
"""",France,05 1997,577,63,10.9,09 1995,321,18,5.6
46,Bulgaria,04 1997,240,26,10.8,---,---,---,---
"""",Chile,12 1997,120,13,10.8,12 1997,46,2,4.3
"""",Nicaragua,10 1996,93,10,10.8,---,---,---,---
"""",Peru,04 1995,120,13,10.8,---,---,---,---
47,Barbados,09 1994,28,3,10.7,09 1994,21,6,28.6
48,Russian Federation,12 1995,450,46,10.2,1997*,178,1,0.6
49,Guinea-Bissau,07 1994,100,10,10.0,---,---,---,---
50,Burundi,06 1993,81,8,9.9,---,---,---,---
51,Panama,05 1994,72,7,9.7,---,---,---,---
"""",Zambia,11 1996,155,15,9.7,---,---,---,---
52,Syrian Arab Republic,08 1994,250,24,9.6,---,---,---,---
53,Saint Vincent & the Grenadines,02 1994,21,2,9.5,---,---,---,---
54,Dominica,06 1995,32,3,9.4,---,---,---,---
"""",Honduras,11 1997,128,12,9.4,---,---,---,---
55,Bangladesh,06 1996,330,30,9.1,---,---,---,---
56,Ghana,12 1996,200,18,9.0,---,---,---,---
"""",Latvia,09 1995,100,9,9.0,---,---,---,---
57,Equatorial Guinea,11 1993,80,7,8.8,---,---,---,---
"""",Guinea,06 1995,114,10,8.8,---,---,---,---
58,Botswana,10 1994,47,4,8.5,---,---,---,---
59,Gabon,12 1996,120,10,8.3,01 1997,89,10,11.2
60,Burkina Faso,05 1997,111,9,8.1,12 1995,176,21,11.9
61,Côte d'Ivoire,11 1995,175,14,8.0,---,---,---,---
62,Croatia,10 1995,127,10,7.9,04 1997,68,4,5.9
"""",Mongolia,06 1996,76,6,7.9,---,---,---,---
63,Malaysia,04 1995,192,15,7.8,04 1995,69,12,17.4
"""",Slovenia,11 1996,90,7,7.8,---,---,---,---
64,Mauritius,12 1995,66,5,7.6,---,---,---,---
65,Israel,05 1996,120,9,7.5,---,---,---,---
66,Tunisia,03 1994,163,12,7.4,---,---,---,---
67,India,02 1998,545,40,7.3,04 1998,220,19,8.6
"""",Romania,11 1996,343,25,7.3,11 1996,143,2,1.4
"""",Sao Tome and Principe,10 1994,55,4,7.3,---,---,---,---
68,Benin,03 1995,83,6,7.2,---,---,---,---
69,Andorra,02 1997,28,2,7.1,---,---,---,---
"""",Uruguay,11 1994,99,7,7.1,11 1994,31,2,6.5
70,Georgia,11 1995,231,16,6.9,---,---,---,---
71,Brazil,10 1994,513,34,6.6,10 1994,81,6,7.4
