Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
74,Andorra,02 1997,28,2,7.1,---,---,---,---
"""",Uruguay,11 1994,99,7,7.1,11 1994,31,2,6.5
75,Belize,08 1998,29,2,6.9,08 1998,8,3,37.5
"""",Georgia,11 1995,231,16,6.9,---,---,---,---
76,Iraq,03 1996,250,16,6.4,---,---,---,---
77,Armenia,07 1995,190,12,6.3,---,---,---,---
"""",Greece,09 1996,300,19,6.3,---,---,---,---
"""",Maldives,12 1994,48,3,6.3,---,---,---,---
78,Burundi,07 1998,117,7,6.0,---,---,---,---
"""",Uzbekistan,12 1994,250,15,6.0,---,---,---,---
79,Brazil,10 1998,513,29,5.7,10 1998,81,6,7.4
80,Cameroon,05 1997,180,10,5.6,---,---,---,---
"""",Malawi,05 1994,177,10,5.6,---,---,---,---
"""",Thailand,11 1996,393,22,5.6,03 1996,260,21,8.1
81,Cyprus,05 1996,56,3,5.4,---,---,---,---
82,Antigua and Barbuda,03 1994,19,1,5.3,03 1994,17,3,17.6
"""",Sri Lanka,08 1994,225,12,5.3,---,---,---,---
"""",Sudan,03 1996,400,21,5.3,---,---,---,---
83,Yugoslavia,11 1996,138,7,5.1,03 1998,40,4,10.0
84,Iran (Islamic Rep. of),03 1996,266,13,4.9,---,---,---,---
85,Japan,10 1996,500,24,4.8,07 1998,252,43,17.1
"""",Singapore,01 1997,84,4,4.8,---,---,---,---
86,Fiji,02 1994,70,3,4.3,02 1994,34,3,8.8
87,Samoa,04 1996,49,2,4.1,---,---,---,---
88,Liechtenstein,02 1997,25,1,4.0,---,---,---,---
89,Lesotho,05 1998,80,3,3.8,05 1998,33,?,?
"""",Mauritania,10 1996,79,3,3.8,04 1998,56,0,0.0
90,Republic of Korea,04 1996,299,11,3.7,---,---,---,---
91,Haiti,06 1995,83,3,3.6,04 1997,27,?,?
"""",Kenya,12 1997,222,8,3.6,---,---,---,---
92,Nepal,11 1994,205,7,3.4,06 1997,60,5,8.3
93,Algeria,06 1997,380,12,3.2,12 1997,144,8,5.6
94,Tajikistan,02 1995,181,5,2.8,---,---,---,---
95,Chad,01 1997,125,3,2.4,---,---,---,---
"""",Turkey,12 1995,550,13,2.4,---,---,---,---
96,Lebanon,08 1996,128,3,2.3,---,---,---,---
"""",Pakistan,02 1997,217,5,2.3,03 1997,87,1,1.1
97,Bhutan,1997*,150,3,2.0,---,---,---,---
"""",Egypt,11 1995,454,9,2.0,---,---,---,---
"""",Ethiopia,05 1995,537,11,2.0,05 1995,120,?,?
"""",Gambia,01 1997,49,1,2.0,---,---,---,---
"""",Solomon Islands,08 1997,49,1,2.0,---,---,---,---
98,Papua New Guinea,06 1997,109,2,1.8,---,---,---,---
99,Kyrgyzstan,02 1995,70,1,1.4,02 1995,35,4,11.4
100,Niger,11 1996,83,1,1.2,---,---,---,---
"""",Togo,02 1994,81,1,1.2,---,---,---,---
101,Yemen,04 1997,301,2,0.7,---,---,---,---
102,Morocco,11 1997,325,2,0.6,12 1997,270,2,0.7
103,Comoros,12 1996,43,0,0.0,---,---,---,---
"""",Djibouti,12 1997,65,0,0.0,---,---,---,---
"""",Jordan,11 1997,80,0,0.0,11 1997,40,3,7.5
"""",Kiribati,07 1994,41,0,0.0,---,---,---,---
"""",Kuwait,10 1996,50,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1997,14,0,0.0,---,---,---,---
"""",Nauru,02 1997,18,0,0.0,---,---,---,---
"""",Palau,11 1996,16,0,0.0,11 1996,14,1,7.1
"""",Tonga,01 1996,30,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0.0,---,---,---,---
?,Albania,06 1997,155,?,?,---,---,---,---
?,Belarus,11 1996,110,?,?,02 1997,63,19,30.2
?,Bolivia,06 1997,130,?,?,06 1997,27,1,3.7
?,Bosnia and Herzegovina,09 1998,42,?,?,09 1998,15,?,?
?,Cambodia,07 1998,122,?,?,---,---,---,---
?,Central African Republic,11 1998,109,?,?,---,---,---,---
?,Colombia,03 1998,165,?,?,03 1998,102,?,?
?,Guyana,12 1997,65,?,?,---,---,---,---
?,Liberia,07 1997,64,?,?,07 1997,26,?,?
?,Libyan Arab Jamahiriya,1997*,760,?,?,---,---,---,---
?,Madagascar,05 1998,150,?,?,---,---,---,---
?,Marshall Islands,11 1995,33,?,?,---,---,---,---
?,Paraguay,05 1998,80,?,?,05 1998,45,?,?
?,Republic of Moldova,03 1998,101,?,?,---,---,---,---
?,Saint Vincent & the Grenadines,06 1998,21,?,?,---,---,---,---
?,Sao Tome and Principe,11 1998,55,?,?,---,---,---,---
?,Swaziland,10 1998,65,?,?,10 1998,30,?,?
?,Tuvalu,03 1998,12,?,?,---,---,---,---
?,Vanuatu,03 1998,52,?,?,---,---,---,---
?,Venezuela,11 1998,207,?,?,11 1998,52,?,?
